vertical,agency_name,website,notes,hq_region,leadership_snapshot,portfolio_public_hooks,core_services_tagged,ai_geo_answer_engine_signals,gemflush_outreach_angle,wikidata_knowledge_graph_angle,enrichment_source_date
medical,Se7en,https://withse7en.com/industries/healthcare,Healthcare campaigns; broader digital plus SEO,St George UT; multi-industry shop,Jace Vernon (founder),Public stats: $12M+ revenue attributed to healthcare campaigns; 200+ healthcare campaigns (per site),Medical SEO; ads; HIPAA-site positioning; reputation; retention analytics,Partial: healthcare landing emphasizes ROI—not always LLM—angle via patient discovery shifting to AI,Gem Flush: upsell AI visibility to practices already buying patient acquisition bundles,Practice groups and DSO-style clients benefit from provider/clinic entity graphs,2026-04-02 (web search + public pages; verify before send)
medical,Wisevu,https://www.wisevu.com/,Medical practice marketing (site uses Wisevu Medical vertical branding),Mississauga ON; office Split HR,Darko D. (CEO; strategy & SEO lead) per public About,Case studies: Alinea Medical Spa; Rockwest Dental; Peak Health VIP etc. on portfolio,SEO; web; technical SEO; digital PR; AI SEO / generative engine optimization (dedicated pages),Strong stated AI SEO—direct Gem Flush complementarity,Pitch: Wikidata publishing as durable trust layer beneath their AI SEO retainers,Clinic and medspa brands frequently confused online—Wikidata disambiguation + sameAs,2026-04-02 (web search + public pages; verify before send)
medical,Healthcare Success,https://www.healthcaresuccess.com/,Healthcare marketing; SEO among services,Irvine CA; founded 2006,Stewart Gandolf (CEO & co-founder); ~40 person team cited,Hospital and multi-location groups; public case snippets (Urgent Care Group; Texas Endovascular),Strategy; SEO; paid; social; creative; web; reputation; HCP marketing,Thought leadership on trust/authority SEO—extend to AI Overviews and LLM citations,Enterprise pitch: system-level AI visibility for hospitals and PE-backed groups,Health systems and service lines map cleanly to institutional Wikidata items when done compliantly,2026-04-02 (web search + public pages; verify before send)
real_estate,Agent SEO,https://agentseo.io/,Real estate SEO specialist positioning,USA remote-friendly boutique,Dan Carpenter (Founder & Director of Search); ex-Business.com scale SEO,ARC Relocation: +481% organic traffic public case study,Real-estate-only SEO; content; links; citations; topical guides,Growing Search and peers market AI search—Agent SEO classic Google-first; angle: AI as incremental channel,Gem Flush: differentiate from commodity realtor SEO with entity/AI surface reporting,Brokerages and teams as local entities; Wikidata supports map pack + LLM locality answers,2026-04-02 (web search + public pages; verify before send)
real_estate,Real Estate Rankers,https://realestaterankers.com/,Real estate SEO agency,Cheyenne WY; Semrush partner; small team,Founder/leadership: verify on site (not in snippet results),Trustpilot/Semrush listing; named testimonials if present on site only,Local SEO; GBP; technical; content; links,Unknown LLM focus—pitch education-first email on AI property search behavior,Smaller agency may white-label Gem Flush for luxury teams,Realtor teams and brokerage brands—entity clarity for hyperlocal SERPs and AI local answers,2026-04-02 (web search + public pages; verify before send)
real_estate,Real Estate SEO,https://realestateseo.com/,Branded real estate SEO focus,USA (verify),Leadership: verify About page,Public claims: 100+ realtors; testimonials on site,Full-service SEO; coaching programs; AI SEO automation (per homepage claims—verify),If AI SEO automation is true product—Gem Flush as data/backend partner conversation,Pitch: bundle structured publishing with their coaching cohort,Franchise-style teams benefit from consistent org entities,2026-04-02 (web search + public pages; verify before send)
real_estate,SEO Locale,https://seolocale.com/,Broader agency; realtor real estate SEO offering,Philadelphia PA; multiple PA offices,Founded 2015; 20+ team (public stats)—named owners verify,250+ clients mixed verticals; realtor SEO service pages,Local/national SEO; web; paid; social; video; AI digital marketing (per contact page),AI digital marketing listed—opening for Gem Flush co-marketing in Philly corridor,White-label for their real estate vertical sellers,Brokerage + agent co-branding often breaks knowledge graph—Wikidata helps,2026-04-02 (web search + public pages; verify before send)
real_estate,Nexfin Services,https://nexfinservices.com/,Real estate digital SEO positioning,Middle East / South Asia markets cited in materials—verify,Verify leadership on site,Developer and agent focus in public copy,Lead gen landing pages; project SEO; local; technical,Unknown—pitch multilingual entity graphs for Gulf developers,Gem Flush enterprise for international property groups,Cross-border developers need English + Arabic entity clarity in open data,2026-04-02 (web search + public pages; verify before send)
legal_au,First Page,https://firstpage.com.au/,Often cited for AU legal SEO; verify current positioning,Australia; global network (HK SG etc.),Nick Bell (founder network); Byron Redhead CEO Australia arm (press),Enterprise client names in press (Disney DHL etc.)—do not assume legal-only,SEO; SEM; social; reputation; enterprise,Large agency—AI search product messaging evolving; verify AU legal case pages,APAC pitch: Gem Flush for AU law and property verticals they already service,Multinational orgs need consistent Wikidata IDs across regions,2026-04-02 (web search + public pages; verify before send)
legal_au,Digital Eagles,https://digitaleagles.com.au/,Often cited for AU legal SEO; verify current positioning,Melbourne and Brisbane,"Three co-founders ""Chief Eagles"" (public About)—verify names on site",Case studies and blog—pick named brands only from site,SEO; Google Ads; social; web; ORM,Generalist—AI angle via competitor threat in AU legal SERPs,Channel partner for structured data heavy campaigns,AU law firms and SMEs—local Business + org entities,2026-04-02 (web search + public pages; verify before send)
legal_au,Clearwater Agency,https://clearwateragency.com.au/,Often cited for AU legal SEO; verify current positioning,Melbourne VIC; founded 2012,Glenn Lockwood (founder) per awards/about materials,Search award winners; retail and CPG + mixed B2B—not legal-pure,SEO; paid social; creative; strategy; web,Strong search awards—pitch innovation story with AI entity layer,Differentiated sell vs pure legal shops—Gem Flush for national retail clients' entity programs,Brand entities for CPG clients intersect Wikidata heavily,2026-04-02 (web search + public pages; verify before send)
legal_au,Supple Digital,https://supple.com.au/,AU digital agency with SEO; verify legal-vertical fit before outreach,Richmond VIC; Macquarie Park NSW,Founded 2012; 2000+ clients cited,Programmatic SEO and international SEO public pages,SEO; PPC; content; CRO; programmatic SEO,Programmatic SEO at scale—Gem Flush entity templates complement pSEO pages,Pitch: automate entity creation for long-tail local programs,Australian brands going global—Wikidata sitelinks and languages,2026-04-02 (web search + public pages; verify before send)
legal,Juris Digital,https://www.jurisdigital.com/,Law-only digital; SEO content paid local web; acquired JurisPage 2026,USA,Verify post-acquisition leadership titles,TAC Injury Law: 450+ leads/mo narrative | Silva Injury Law +60% cases | Moses & Rooth etc. on homepage stories,SEO; local/maps; web; content; paid; LSA; success stories,Playbook content on AI search for lawyers—strong hook (verify latest guides),Gem Flush: partner for institutional clients already trusting JD stack,PI and criminal defense brands with many attorneys—per-attorney disambiguation via graph,2026-04-02 (web search + public pages; verify before send)
legal,BluShark Digital,https://www.blusharkdigital.com/,Law firm SEO local organic paid; high review volume on Clutch,USA; Seth Price also Price Benowitz partner,Seth Price (Founder & CEO); law firm operator background,Atlanta Divorce Law Group: +1400% growth testimonial | McCready Jan Dils cited on site,Technical; content; links; local; paid,Speaker circuit on SEO—early adopter pitch for LLM visibility products,White-label Gem Flush for firms already buying premium SEO,Multi-office firms like Price Benowitz model map to org graph work,2026-04-02 (web search + public pages; verify before send)
legal,Postali,https://www.postali.com/,Full-service legal marketing; SEO PPC web direct mail production,Columbus OH; founded 2009,Jenna Saponaro (CEO); John Sickmeyer (Founder); Jim Christy (President),Award-heavy creative shop; combine SEO with direct mail—unique cross-channel,SEO; PPC; web; direct mail; video; PR; AI results optimization (per services),SEO + AI Results Optimization on service menu—Gem Flush fits stated line,Pitch: unify offline brand + online entity graph for same firms,Full-service agencies can bundle Wikidata with rebrand launches,2026-04-02 (web search + public pages; verify before send)
legal,Array Digital,https://www.arraydigital.com/,Law firm growth; SEO content paid ads web; Inc 5000,Virginia Beach area (verify); national law firms,Erik J. Olson (Founder & CEO); Kevin Daisey (Co-founder & CMO); Managing Partners podcast,McPartland Law Offices: +266% organic in six months public case,SEO; content; paid; web; peer mastermind,Seven-figure firm positioning—budget for experimental AI visibility,Gem Flush as mastermind cohort upsell for ambitious managing partners,Regional PI firms scaling to multi-state—entity modeling across states,2026-04-02 (web search + public pages; verify before send)
legal,EverSpark Interactive,https://www.eversparkinteractive.com/,Law firm digital; SEO-forward; market exclusivity model,Atlanta GA; founded 2009,Moe Shahzad (CEO; owner since 2020); three SEO-expert founders origin story,Rafi Law Firm; Lytal Reiter Smith Ivey & Fronrath; Johnson Firm testimonials,SEO; PPC; LSA; web,Map pack heavy wins—bridge to AI local answers,Exclusivity per market pairs well with owning entity shelf space,Same as BluShark: aggressive litigators need unambiguous brand entities,2026-04-02 (web search + public pages; verify before send)
legal,iLawyer Marketing,https://www.ilawyermarketing.com/,Law firm SEO and digital since 2006,USA,Verify founder/VP Search on About—long tenure team,Markets as #1 legal SEO; in-house execution emphasis,SEO; web; Google Ads; video; Facebook; content,Proprietary algo tracking story—add Gem Flush as structured data channel,Competitive SEO shops buy data APIs—enterprise Gem Flush angle,Large attorney rosters need systematic Wikidata hygiene,2026-04-02 (web search + public pages; verify before send)
legal,Growth Lab,https://www.growthlabseo.com/,Law firm SEO PPC LSA AI websites; Inc 5000 cited,USA; founded 2021 fast growth,Will Palmer (Founder & CEO); Chase Spencer (Chief Growth Officer),Transparency platform story; Inc 5000 2025; AI pioneer award claims on site,SEO; PPC; LSA; AI; websites; cloud reporting,Explicit AI in positioning—strong Gem Flush narrative,Pitch: AI + transparency dashboard + entity publishing,Fast-growth firms acquiring markets—graph publishing during M&A branding,2026-04-02 (web search + public pages; verify before send)
legal,TSEG,https://www.tseg.com/,PI and mass tort SEO web PPC; market-exclusive positioning,USA; mass tort and PI,Partners not vendors narrative; verify named principals,Jurewitz Law Group; Minner Vines; TorHoerman NEC campaign PR,SEO; PPC; LSA; AI Lawgic product; web; mass tort campaigns,TSEG Lawgic AI—direct competitive/complementary conversation to Gem Flush,Enterprise: mass tort needs authoritative entities for emerging dockets,Campaign microsites + parent firm disambiguation via Wikidata,2026-04-02 (web search + public pages; verify before send)
medical,Intrepy,https://www.intrepy.com/,Healthcare-only agency; medical SEO paid social web,Peachtree Corners GA area,Justin Knott (CEO); Kelley Knott (President & co-founder); founded 2014,Mid/large specialty practices focus—verify named logos on site only,Medical SEO; web; ads; listings; reputation; CRM; telehealth,"Specialty surgical SEO—patients asking LLMs for ""best surgeon"" lists",Gem Flush: differentiate specialty practices in AI answers,Surgeon and facility entities are heavily retrieved by LLMs if present in graph,2026-04-02 (web search + public pages; verify before send)
medical,Hexapoint,https://www.hexapoint.com/,Medical marketing; SEO with EHR-connected attribution narrative,USA,Verify leadership on site,North American in-house specialists claim—ROI tied to EHR,SEO; ads; content; reputation; attribution to patient acquisition,Data/attribution culture—good buyer for measurable Gem Flush reporting,Pitch: close loop from Wikidata impression proxies to booked patients (indirect),Provider NPI-linked messaging may pair with public entity data strategy (compliance first),2026-04-02 (web search + public pages; verify before send)
medical,Greaton,https://www.greaton.ai/,AI-positioned medical practice marketing and SEO,USA,AI-native positioning—verify named leadership,Greaton System branding—verify case studies,AI medical marketing; SEO; ads; branding,Very high Gem Flush fit (AI + SEO),Potential technology partner or channel—not just agency resale,AI-first buyers understand LLM training data and knowledge graphs,2026-04-02 (web search + public pages; verify before send)
medical,Cardinal Digital Marketing,https://www.cardinaldigitalmarketing.com/,Healthcare performance marketing; SEO for multi-location groups,USA; Power Digital healthcare division,Enterprise healthcare marketing leadership (verify),Behavioral health; DSO; hospitals—public outcome percentages on SEO pages,SEO; paid; web; BI; multi-location,Claims #1 healthcare SEO—AI search in service copy (verify),Enterprise Gem Flush for 10M patients mission narrative,Hospital networks: Wikidata requires governance—sell professional services not DIY,2026-04-02 (web search + public pages; verify before send)
medical,DoctorLogic,https://www.doctorlogic.com/,Patient acquisition platform; medical SEO content at scale,USA; SaaS + services,Platform vendor model—partner marketing leadership,Refine Plastic Surgery; Rothchild Eye; MINT Dentistry cases public,Platform SEO; content multiplier; 1000+ practices cited,Generative engine optimization mentioned in materials—verify,Integration or OEM: Gem Flush powers entity layer for DoctorLogic sites,DSO and medspa chains—template entity deployment at scale,2026-04-02 (web search + public pages; verify before send)
medical,Levo Health,https://www.levohealth.com/,Healthcare marketing; SEO local technical schema reputation,USA; Google Premier Partner history,Verify C-suite on site,Telehealth and ops consulting mix—SEO includes schema emphasis,SEO; schema; reputation; paid; ops,Schema-heavy positioning—natural Wikidata upsell,Gem Flush: extend schema work into persistent KB publishing,Physician-level schema narrative aligns with Wikidata person items (careful compliance),2026-04-02 (web search + public pages; verify before send)
real_estate,InboundREM,https://www.inboundrem.com/,Real estate SEO and AEO; hyperlocal inbound,Cheyenne WY; Van Nuys CA,Robert Newman (Founder; 32 yrs sales / 16 yrs RE inbound),Celebrity agent references in bio (Zanuck Joyce Rey Williams)—confirm before use | RealtyRank AI product,SEO-first websites; local; AI-assisted content; AEO positioning,Very high fit: AI info page + AEO—Gem Flush synergistic,Pitch: Wikidata as backbone for AI citation alongside their WordPress builds,Agent-as-local-entity for luxury hyperlocal,2026-04-02 (web search + public pages; verify before send)
real_estate,Agent Image,https://www.agentimage.com/,Real estate websites; SEO packages Ultimate SEO Local,El Segundo CA; 300+ employees,Luigi Amante & Jon Krabbe (co-founders per profiles); Tiger Bitanga (managing partner),24k-30k websites launched—enterprise production scale,Web; IDX; SEO Local; Ultimate SEO Pages,SEO content at scale—programmatic entity opportunities,Gem Flush: upsell to top teams on flagship product,High-end teams listed on WSJ-adjacent marketing—entity prestige matters,2026-04-02 (web search + public pages; verify before send)
real_estate,Luxury Presence,https://www.luxurypresence.com/,Real estate sites and SEO; luxury and team focus,USA; remote/global team ~600,Malte Kramer (Founder & CEO),Ryan Serhant; Jade Mills; Josh Flagg; Tracy Tutor etc. public | SEO ROI stories on blog,AI-powered SEO; websites; ads; CRM; luxury positioning,Strong AI SEO marketing—enterprise Gem Flush partner candidate,Pitch: knowledge graph for ultra-high-net-worth personal brands,Celebrity agents are constantly retrieved by LLMs—Wikidata disambiguation critical,2026-04-02 (web search + public pages; verify before send)
real_estate,Growing Search,https://www.growingsearch.com/,Real estate SEO IDX technical and AI search visibility,Montreal and Toronto; founded 2017,Collective 40 yrs experience—named principals verify,Real estate SEO pillar page; AI optimization AEO GEO AIO listed,SEO; content; real estate vertical; international; AI/AEO/GEO,Explicit AEO GEO AIO—top tier Gem Flush fit,Channel partner pitch: bilingual entity publishing CA/US,IDX-heavy sites benefit from structured org + agent entities,2026-04-02 (web search + public pages; verify before send)
real_estate,Direction,https://www.direction.com/,Real estate broker and investor SEO and web,USA,Verify leadership Clutch profile,$804M+ revenue unlocked claim; investor and broker pages,SEO; web design; local; reputation,Real estate + healthcare SEO pages (multi-vertical)—confirm focus,Performance marketing mindset—sell ROI of AI visibility,"Investor-facing brands (""we buy houses"") need strong entity clarity",2026-04-02 (web search + public pages; verify before send)
real_estate,Sierra Interactive,https://www.sierrainteractive.com/,IDX websites CRM; SEO playbook and community pages,Louisville KY HQ; remote team ~60,Peter Maglathlin (CEO); product and growth VPs public,CRM + IDX SaaS; SEO playbook resources; community pages product,SEO embedded in platform—partner API story,Gem Flush: OEM for top brokerage tech stack,MLS-backed sites generate millions of URLs—org sameAs reduces chaos,2026-04-02 (web search + public pages; verify before send)
